run_id,session,start_ts,end_ts,model,dataset,tp,request_rate,max_concurrency,instr,rep,command,result_json,status,notes
BOOT1_Qwen2.5-0.5B-Instruct_tp1,A,1785346387.997,1785346501.757,Qwen/Qwen2.5-0.5B-Instruct,random,1,inf,,on,0,"vllm bench serve --model Qwen/Qwen2.5-0.5B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 20 --request-rate inf --seed 42 --random-input-len 128 --random-output-len 64 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename BOOT1_Qwen2.5-0.5B-Instruct_tp1.json",,boot_warmup,discard
P0_probe,A,1785346501.764,1785346630.304,Qwen/Qwen2.5-0.5B-Instruct,sharegpt,1,inf,,on,1,"vllm bench serve --model Qwen/Qwen2.5-0.5B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate inf --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename P0_probe.json",results/raw/sessionA/bench/P0_probe.json,ok,achieved=17.27
BOOT1_Qwen2.5-7B-Instruct_tp1,A,1785348463.131,1785348553.388,Qwen/Qwen2.5-7B-Instruct,random,1,inf,,on,0,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 20 --request-rate inf --seed 42 --random-input-len 128 --random-output-len 64 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename BOOT1_Qwen2.5-7B-Instruct_tp1.json",,boot_warmup,discard
A1a_rep1,A,1785348553.393,1785348712.939,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename A1a_rep1.json",results/raw/sessionA/bench/A1a_rep1.json,ok,achieved=3.01;RATE_SHORTFALL
A1a_rep2,A,1785348714.947,1785348866.778,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename A1a_rep2.json",results/raw/sessionA/bench/A1a_rep2.json,ok,achieved=3.21;RATE_SHORTFALL
A1a_rep3,A,1785348868.787,1785349018.710,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,on,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename A1a_rep3.json",results/raw/sessionA/bench/A1a_rep3.json,ok,achieved=3.36;RATE_SHORTFALL
BOOT2_Qwen2.5-7B-Instruct_tp1,A,1785349239.875,1785349329.642,Qwen/Qwen2.5-7B-Instruct,random,1,inf,,off,0,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name random --num-prompts 20 --request-rate inf --seed 42 --random-input-len 128 --random-output-len 64 --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename BOOT2_Qwen2.5-7B-Instruct_tp1.json",,boot_warmup,discard
C1off_rep1,A,1785349329.646,1785349489.610,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,off,1,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 1 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename C1off_rep1.json",results/raw/sessionA/bench/C1off_rep1.json,ok,achieved=3.02;RATE_SHORTFALL
C1off_rep2,A,1785349491.617,1785349639.256,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,off,2,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 2 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename C1off_rep2.json",results/raw/sessionA/bench/C1off_rep2.json,ok,achieved=3.22;RATE_SHORTFALL
C1off_rep3,A,1785349641.266,1785349794.357,Qwen/Qwen2.5-7B-Instruct,sharegpt,1,5,,off,3,"vllm bench serve --model Qwen/Qwen2.5-7B-Instruct --host 127.0.0.1 --port 8000 --dataset-name sharegpt --num-prompts 200 --request-rate 5 --seed 3 --dataset-path /workspace/ShareGPT_V3_unfiltered_cleaned_split.json --num-warmups 30 --temperature 0 --ignore-eos --percentile-metrics ttft,tpot,itl,e2el --metric-percentiles 50,95,99 --save-result --result-dir results/raw/sessionA/bench --result-filename C1off_rep3.json",results/raw/sessionA/bench/C1off_rep3.json,ok,achieved=3.38;RATE_SHORTFALL
